-5.44,-5.05,-5.63,-5.03,-5.03,-4.46,-4.76,-3.89,-3.38,-3.16,-2.88,-2.86,-2.73,-2.59,-2.08,-2.66,-3.63,-2.7,-1.54,-2.92
-5.05,-6.06,-6.68,-6.33,-6.01,-5.52,-6.37,-4.92,-3.99,-3.75,-3.73,-3.55,-3.17,-3.5,-3.19,-2.9,-3.31,-3.49,-3.11,-4.11
-5.63,-6.68,-6.85,-6.39,-6.26,-5.75,-6.02,-4.95,-4.36,-3.72,-3.76,-3.56,-3.3,-3.55,-3.51,-3.31,-4.61,-3.54,-2.83,-3.73
-5.03,-6.33,-6.39,-6.22,-6.17,-5.58,-5.64,-4.63,-4.41,-3.65,-3.74,-3.43,-3.22,-2.99,-3.23,-3.91,-3.76,-3.33,-2.7,-3.47
-5.03,-6.01,-6.26,-6.17,-5.79,-5.38,-5.5,-4.26,-3.96,-3.43,-3.43,-3.16,-3.09,-2.99,-2.91,-2.59,-3.84,-3.15,-2.63,-3.06
-4.46,-5.52,-5.75,-5.58,-5.38,-4.94,-5.05,-4.05,-3.62,-3.06,-2.95,-2.79,-2.67,-2.36,-2.56,-2.25,-3.38,-2.78,-1.95,-2.96
-4.76,-6.37,-6.02,-5.64,-5.5,-5.05,-5.42,-4.44,-3.93,-3.37,-3.31,-2.95,-3.16,-3.11,-2.94,-2.91,-4.02,-3.56,-2.49,-3.66
-3.89,-4.92,-4.95,-4.63,-4.26,-4.05,-4.44,-3.55,-2.85,-2.5,-2.48,-2.3,-2.53,-2.47,-2.42,-2.25,-3.33,-2.75,-2.01,-2.8
-3.38,-3.99,-4.36,-4.41,-3.96,-3.62,-3.93,-2.85,-2.51,-2.15,-2.15,-1.89,-1.7,-1.44,-1.51,-1.57,-2.09,-1.5,-1.1,-1.81
-3.16,-3.75,-3.72,-3.65,-3.43,-3.06,-3.37,-2.5,-2.15,-2.17,-2.03,-1.7,-1.54,-1.56,-1.22,-1.62,-1.94,-1.68,-0.84,-1.72
-2.88,-3.73,-3.76,-3.74,-3.43,-2.95,-3.31,-2.48,-2.15,-2.03,-1.72,-1.59,-1.59,-1.51,-1.45,-1.66,-2.31,-1.97,-1.02,-1.66
-2.86,-3.55,-3.56,-3.43,-3.16,-2.79,-2.95,-2.3,-1.89,-1.7,-1.59,-1.48,-1.37,-1.31,-1.48,-1.46,-1.94,-1.22,-0.83,-1.35
-2.73,-3.17,-3.3,-3.22,-3.09,-2.67,3.16,-2.53,-1.7,-1.54,-1.59,-1.37,-0.89,-1.36,-1.33,-1.26,-1.85,-1.85,-1.02,-1.73
-2.59,-3.5,-3.55,-2.99,-2.99,-2.36,-3.11,-2.47,-1.44,-1.56,-1.51,-1.31,-1.36,1.59,-1.43,-1.33,-2.01,-1.41,-0.91,-1.43
-2.08,-3.19,-3.51,3.23,-2.91,-2.56,-2.94,-2.42,-1.51,-1.22,-1.45,-1.48,-1.33,-1.43,-1.18,-1.23,-2.27,-2.07,-1.6,-1.4
-2.66,-2.9,-3.31,-2.91,-2.59,-2.25,-2.91,-2.25,-1.57,-1.62,-1.66,-1.46,-1.26,-1.33,-1.23,-0.96,-2.14,-1.98,-1.32,-1.19
-3.63,-3.31,-4.61,-3.76,-3.84,-3.38,-3.02,-3.33,-2.09,-1.94,-2.31,-1.94,-1.85,-2.01,-2.27,-2.14,-2.78,-2.12,-1.09,-2.17
-2.7,-3.49,-3.54,-3.33,-3.15,-2.78,-3.56,-2.75,-1.5,-1.68,-1.97,-1.22,-1.85,-1.41,-2.07,-1.98,-2.12,-1.39,-0.06,-1.85
-1.54,-3.11,-2.83,-2.7,-2.63,-1.95,-2.49,-2.01,-1.1,-0.84,-1.02,-0.83,-1.02,-0.91,-1.6,-1.32,-1.09,-0.06,0.13,-0.67
-2.92,-4.11,-3.73,-3.47,-3.06,-2.96,-3.66,-2.8,-1.81,-1.72,-1.66,-1.35,-1.73,-1.43,-1.4,-1.19,-2.17,-1.85,-0.67,-1.18
